"","season","player.name","player.position","player.age","player.nationality","from.name","from.country","from.league","to.name","to.country","to.league","transfer.value"
"8228","2019/2020","Kieran Balfour","Midfielder","19","Scotland","Ayr United","Scotland","Championship","","","","-"
"8229","2019/2020","Iván Martos","Left-Back","22","Spain","UD Almería B","Spain","","UD Almería","Spain","LaLiga2","-"
"8230","2019/2020","Siebe Schets","Centre-Forward","21","Netherlands","FC Dordrecht","Netherlands","Keuken Kampioen Divisie","","","","-"
"8231","2019/2020","Dylan George","Left Winger","21","Netherlands","FC Twente","Netherlands","Eredivisie","","","","-"
"8232","2019/2020","Moritz Broschinski","Centre-Forward","18","Germany","E. Cottbus U19","Germany","U19-Bundesliga Nord/Nordost","Energie Cottbus","Germany","Regionalliga Nordost","-"
"8233","2019/2020","Niklas Geisler","Attacking Midfield","18","Germany","E. Cottbus U19","Germany","U19-Bundesliga Nord/Nordost","Energie Cottbus","Germany","Regionalliga Nordost","-"
"8234","2019/2020","Anton Kanther","Central Midfield","18","Germany","Magdeburg U19","Germany","U19-Bundesliga Nord/Nordost","1.FC Magdeburg","Germany","3. Liga","-"
"8235","2019/2020","Alex Penny","Centre-Back","22","England","Hamilton Acad.","Scotland","Premiership","","","","-"
"8236","2019/2020","Francesco Pio De Feo","Central Midfield","22","Italy","Nocerina","Italy","Serie D - I","","","","-"
"8237","2019/2020","André Warkentin","Midfielder","19","Germany","Wiedenbrück II","Germany","","SC Wiedenbrück","Germany","Oberliga Westfalen","-"
"8238","2019/2020","Almaz Fatikhov","Centre-Forward","29","Russia","FK Kaluga","Russia","PFL Central","","","","-"
"8239","2019/2020","Marco Granados","Centre-Forward","22","Mexico","Guadalajara II","Mexico","","Real Estelí FC","Nicaragua","","?"
"8240","2019/2020","Jaime De Gracia","Goalkeeper","23","Panama","San Miguelito","Panama","","","","","?"
"8241","2019/2020","Luis Pereira","Defensive Midfield","23","Panama","Árabe Unido","Panama","","Dep. Centenario","Panama","","?"
"8242","2019/2020","Michal Klec","Central Midfield","23","Slovakia","MSK Zilina","Slovakia","Fortuna Liga","FK Pohronie","Slovakia","Fortuna Liga","?"
"8243","2019/2020","Takahiro Sekine","Right Midfield","24","Japan","FC Ingolstadt","Germany","3. Liga","Urawa Reds","Japan","J1 League","?"
"8244","2019/2020","Madger Gomes","Central Midfield","22","Spain","Depor. Alavés B","Spain","2ª B - Grupo II","Doncaster","England","League One","?"
"8245","2019/2020","Sajjad Azhdar","Attacking Midfield","31","Iran","Gol Gohar","Iran","Persian Gulf Pro League","","","","?"
"8246","2019/2020","Rodrigo González","Centre-Back","24","Mexico","UNAM Pumas","Mexico","Liga MX Apertura","","","","?"
"8247","2019/2020","Lewis Enoh","Centre-Forward","26","Cameroon","FC Poli Iasi","Romania","Liga 1","Leixões","Portugal","Liga Pro","?"
"8248","2019/2020","Abdelghani Khiat","Centre-Back","30","Algeria","NA Hussein Dey","Algeria","Ligue Professionnelle 1","ES Sétif","Algeria","Ligue Professionnelle 1","?"
"8249","2019/2020","Anthony Carter","Centre-Forward","24","Australia","Benfica B","Portugal","Liga Pro","Académico Viseu","Portugal","Liga Pro","?"
"8250","2019/2020","Joris Correa","Centre-Forward","25","France","FC Chambly","France","Ligue 2","US Orléans","France","Ligue 2","?"
"8251","2019/2020","Manuel Marroquín","Centre-Back","25","Mexico","Coras de Tepic","Mexico","","Oaxaca","Mexico","Ascenso MX Apertura","?"
"8252","2019/2020","Ulices Briceño","Centre-Forward","26","Mexico","Correcaminos","Mexico","Ascenso MX Apertura","Albinegros","Mexico","","?"
"8253","2019/2020","Stefan Pribanovic","Centre-Back","22","Austria","FC Wacker II","Austria","Regionalliga Tirol","","","","?"
"8254","2019/2020","Stefano Surdanovic","Centre-Forward","20","Serbia","SV Ried","Austria","2. Liga","Blau Weiss Linz","Austria","2. Liga","?"
"8255","2019/2020","Alexander Kogler","Right Midfield","21","Austria","FC Wacker II","Austria","Regionalliga Tirol","Grazer AK 1902","Austria","2. Liga","?"
"8256","2019/2020","Lion Lauberbach","Centre-Forward","21","Germany","FSV Zwickau","Germany","3. Liga","Holstein Kiel","Germany","2. Bundesliga","?"
"8257","2019/2020","Daniel Nussbaumer","Attacking Midfield","19","Austria","Stuttgart II","Germany","Oberliga Baden-Württemberg","SCR Altach","Austria","Bundesliga","?"
"8258","2019/2020","Rok Sirk","Centre-Forward","25","Slovenia","NS Mura","Slovenia","Prva Liga","Zaglebie Lubin","Poland","Ekstraklasa","?"
"8259","2019/2020","Gagik Maghakyan","Centre-Back","23","Armenia","Banants II","Armenia","First League","Gandzasar","Armenia","Bardsragujn chumb","?"
"8260","2019/2020","Ahmed Al-Sultan","Right Midfield","25","Saudi Arabia","Damac FC","Saudi Arabia","Professional League","Al-Adalh FC","Saudi Arabia","Professional League","?"
"8261","2019/2020","Vitali Gorulev","Defensive Midfield","20","Russia","Zenit 2 S-Pb","Russia","PFL West","SKA Khabarovsk","Russia","1.Division","?"
"8262","2019/2020","Jefferson Intriago","Defensive Midfield","23","Ecuador","LDU Quito","Ecuador","LigaPro Serie A","Tigres UANL","Mexico","Liga MX Apertura","?"
"8263","2019/2020","Naor Sabag","Midfielder","26","Israel","Ness Ziona","Israel","Ligat ha'Al","H. Beer Sheva","Israel","Ligat ha'Al","?"
"8264","2019/2020","Tonny Vilhena","Central Midfield","24","Netherlands","Feyenoord","Netherlands","Eredivisie","Krasnodar","Russia","Premier Liga","£8.10m"
"8265","2019/2020","Anwar El Ghazi","Right Winger","24","Netherlands","LOSC Lille","France","Ligue 1","Aston Villa","England","Premier League","£8.10m"
"8266","2019/2020","Alberto Cerri","Centre-Forward","23","Italy","Juventus","Italy","Serie A","Cagliari Calcio","Italy","Serie A","£8.10m"
"8267","2019/2020","Djibril Sow","Central Midfield","22","Switzerland","BSC Young Boys","Switzerland","Super League","E. Frankfurt","Germany","Bundesliga","£8.10m"
"8268","2019/2020","Ihlas Bebou","Right Winger","25","Togo","Hannover 96","Germany","2. Bundesliga","TSG Hoffenheim","Germany","Bundesliga","£7.65m"
"8269","2019/2020","Pedro Neto","Right Winger","19","Portugal","Braga","Portugal","Liga NOS","Lazio","Italy","Serie A","£7.65m"
"8270","2019/2020","Juanmi","Right Winger","26","Spain","Real Sociedad","Spain","LaLiga","Real Betis","Spain","LaLiga","£7.20m"
"8271","2019/2020","Giovanni Di Lorenzo","Right-Back","25","Italy","FC Empoli","Italy","Serie B","SSC Napoli","Italy","Serie A","£7.20m"
"8272","2019/2020","Christopher Jullien","Centre-Back","26","France","Toulouse","France","Ligue 1","Celtic","Scotland","Premiership","£7.20m"
"8273","2019/2020","Ionut Radu","Goalkeeper","22","Romania","Inter","Italy","Serie A","Genoa","Italy","Serie A","£7.20m"
"8274","2019/2020","Luan Cândido","Left-Back","18","Brazil","Palmeiras B","Brazil","","RB Leipzig","Germany","Bundesliga","£7.20m"
"8275","2019/2020","Valentin Rosier","Right-Back","22","France","Dijon","France","Ligue 1","Sporting CP","Portugal","Liga NOS","£7.20m"
"8276","2019/2020","Eddie Salcedo","Centre-Forward","17","Italy","Genoa","Italy","Serie A","Inter","Italy","Serie A","£7.20m"
"8277","2019/2020","Jean Lucas","Central Midfield","21","Brazil","Flamengo","Brazil","Série A","Olympique Lyon","France","Ligue 1","£7.20m"
"8278","2019/2020","Roberto Soriano","Central Midfield","28","Italy","Villarreal","Spain","LaLiga","Bologna","Italy","Serie A","£6.75m"
"8279","2019/2020","Nicola Sansone","Left Winger","27","Italy","Villarreal","Spain","LaLiga","Bologna","Italy","Serie A","£6.75m"
"8280","2019/2020","Luciano Vietto","Centre-Forward","25","Argentina","Atlético Madrid","Spain","LaLiga","Sporting CP","Portugal","Liga NOS","£6.75m"
"8281","2019/2020","Edimilson Fernandes","Central Midfield","23","Switzerland","West Ham","England","Premier League","1.FSV Mainz 05","Germany","Bundesliga","£6.75m"
"8282","2019/2020","Loum","Defensive Midfield","22","Senegal","Braga","Portugal","Liga NOS","FC Porto","Portugal","Liga NOS","£6.75m"
"8283","2019/2020","Luka Jovic","Centre-Forward","21","Serbia","Benfica","Portugal","Liga NOS","E. Frankfurt","Germany","Bundesliga","£6.30m"
"8284","2019/2020","Eduard Löwen","Central Midfield","22","Germany","1.FC Nuremberg","Germany","2. Bundesliga","Hertha BSC","Germany","Bundesliga","£6.30m"
"8285","2019/2020","Theo Bongonda","Left Winger","23","Belgium","Zulte Waregem","Belgium","Jupiler Pro League","KRC Genk","Belgium","Jupiler Pro League","£6.30m"
"8286","2019/2020","Andrea Favilli","Centre-Forward","22","Italy","Juventus","Italy","Serie A","Genoa","Italy","Serie A","£6.30m"
"8287","2019/2020","Lisandro Martínez","Centre-Back","21","Argentina","Defensa","Argentina","Superliga","Ajax","Netherlands","Eredivisie","£6.30m"
"8288","2019/2020","James Justin","Right-Back","21","England","Luton Town","England","Championship","Leicester","England","Premier League","£6.03m"
"8289","2018/2019","Ge Hui","Defensive Midfield","26","China","","","","SX Metropolis","China","League Two North","-"
"8290","2018/2019","Chaoping He","Goalkeeper","21","China","","","","YN Kunlu","China","League Two South","-"
"8291","2018/2019","Jiang Wang","Centre-Back","28","China","","","","YN Kunlu","China","League Two South","-"
"8292","2018/2019","Jun Bian","Centre-Forward","35","China","","","","NJ Shaye","China","League Two South","-"
"8293","2018/2019","Hao Shen","Midfielder","25","China","","","","SX Metropolis","China","League Two North","-"
"8294","2018/2019","Benhur Keser","Left Winger","22","Turkey","Sanliurfaspor ","Turkey","2.Lig Kirmizi","","","","-"
"8295","2018/2019","Mauro Molina","Centre-Forward","19","Argentina","Indep'te II","Argentina","","Independiente","Argentina","Superliga","-"
"8296","2018/2019","Devrim Bekar","Left Winger","21","Turkey","Bucaspor","Turkey","3.Lig Grup 3","","","","-"
"8297","2019/2020","Sherzod Khakimov","Left Winger","32","Uzbekistan","Surkhon","Uzbekistan","Superliga","Navbahor","Uzbekistan","Superliga","?"
"8298","2019/2020","Serhii Chobotenko","Centre-Back","22","Ukraine","Shakhtar II","Ukraine","","FK Mariupol","Ukraine","Premier Liga","?"
"8299","2019/2020","Giacomo Parigi","Centre-Forward","23","Italy","Atalanta","Italy","Serie A","Olbia","Italy","Serie C - A","?"
"8300","2019/2020","Dillon Barnes","Goalkeeper","23","England","Colchester Utd.","England","League Two","QPR","England","Championship","?"
"8301","2019/2020","Andrés Llamas","Left-Back","21","Italy","AC Milan","Italy","Serie A","Pistoiese","Italy","Serie C - A","?"
"8302","2019/2020","Dmytro Zaderetskyi","Left Midfield","24","Ukraine","Kremin","Ukraine","Persha Liha","Polissya 2016","Ukraine","","?"
"8303","2019/2020","Alessio Sabbione","Centre-Back","27","Italy","Carpi","Italy","Serie C - B","Bari","Italy","Serie C - C","?"
"8304","2019/2020","Kevin Yamga","Left Winger","22","France","Chievo Verona","Italy","Serie B","Desportivo Aves","Portugal","Liga NOS","?"
"8305","2019/2020","Jae-ik Lee","Centre-Back","20","Korea, South","Gangwon FC","Korea, South","K League 1","Al Rayyan","Qatar","Stars League","?"
"8306","2019/2020","Manuel Thurnwald","Right-Back","21","Austria","Rapid Vienna","Austria","Bundesliga","SCR Altach","Austria","Bundesliga","?"
"8307","2019/2020","Jérôme Hergault","Right-Back","33","France","AC Ajaccio","France","Ligue 2","FC Lorient","France","Ligue 2","?"
"8308","2019/2020","Hassen Hamzaoui","Goalkeeper","26","Tunisia","AS Kasserine","Tunisia","","US Monastir","Tunisia","Ligue I Pro","?"
"8309","2019/2020","Bafana Kali","Defensive Midfield","28","South Africa","Uthongathi","South Africa","","Richards Bay","South Africa","","?"
"8310","2019/2020","Mailson","Right Winger","28","Brazil","CRB","Brazil","Série B","Vila Nova FC","Brazil","Série B","?"
"8311","2019/2020","Abdu Conte","Left-Back","21","Portugal","Sporting CP U23","Portugal","","Moreirense ","Portugal","Liga NOS","?"
"8312","2019/2020","Brian Rainero","Goalkeeper","21","Italy","Caratese","Italy","Serie D - A","Milano City","Italy","Serie D - A","?"
"8313","2019/2020","Andrii Stryzheus","Midfielder","23","Ukraine","Slonim 2017","Belarus","","Volyn Lutsk","Ukraine","Persha Liha","?"
"8314","2019/2020","Toni Nikolic","Central Midfield","22","Croatia","GOSK-Dubrovnik","Croatia","","HNK Neum","Bosnia-Herzegovina","","?"
"8315","2019/2020","Andrea Masetti","Left-Back","21","Italy","Sassuolo","Italy","Serie A","Arezzo","Italy","Serie C - A","?"
"8316","2019/2020","Himid Mao Mkami","Defensive Midfield","26","Tanzania","Petrojet","Egypt","","Enppi","Egypt","Premier League","?"
"8317","2019/2020","Artem Kozak","Central Midfield","21","Ukraine","Arsenal Kyiv","Ukraine","","Karpaty","Ukraine","Premier Liga","?"
"8318","2019/2020","Luca Mosti","Right-Back","21","Italy","Fiorentina","Italy","Serie A","Arezzo","Italy","Serie C - A","?"
"8319","2019/2020","Tomás Conechny","Second Striker","21","Argentina","San Lorenzo II","Argentina","","Timbers","United States","MLS","?"
"8320","2019/2020","Oleksandr Chernetskyi","Defensive Midfield","24","Ukraine","SK Tavriya","Ukraine","","Polissya 2016","Ukraine","","?"
"8321","2019/2020","Emre Can Dönmez","Defensive Midfield","20","Turkey","Tarsus IY","Turkey","2.Lig Beyaz","Kozan Spor FK","Turkey","3.Lig Grup 2","?"
"8322","2019/2020","Alberto Usubiaga","Goalkeeper","24","Andorra","Lusitanos","Andorra","","Sant Julia","Andorra","","?"
"8323","2019/2020","Tariqe Fosu","Left Winger","23","England","Charlton","England","Championship","Oxford United","England","League One","?"
"8324","2019/2020","Heinz Mörschel","Second Striker","21","Germany","Holstein Kiel","Germany","2. Bundesliga","Preußen Münster","Germany","3. Liga","?"
"8325","2019/2020","Rifet Kapic","Central Midfield","23","Bosnia-Herzegovina","Grasshoppers","Switzerland","Challenge League","SC Paderborn","Germany","Bundesliga","?"
"8326","2019/2020","Kurt Zammit","Right Winger","23","Malta","Mosta FC","Malta","Premier League","Zejtun C.","Malta","First Division","?"
"8327","2019/2020","Kwadwo Duah","Right Midfield","22","Switzerland","BSC Young Boys","Switzerland","Super League","FC Wil 1900","Switzerland","Challenge League","?"
"8328","2019/2020","Vahid Mehdikhani","Goalkeeper","28","Iran","Sh Tabriz","Iran","Azadegan League","Niroye Zamini","Iran","Azadegan League","?"
"8329","2019/2020","Mo Eisa","Centre-Forward","24","Sudan","Bristol City","England","Championship","Peterborough","England","League One","?"
"8330","2019/2020","Abdessamad Bounoua","Defensive Midfield","28","Algeria","USM Bel Abbès","Algeria","Ligue Professionnelle 1","JS Kabylie","Algeria","Ligue Professionnelle 1","?"
"8331","2019/2020","Strahinja Karisic","Attacking Midfield","21","Serbia","Partizan","Serbia","Linglong Tire Super liga Srbije","Vozdovac","Serbia","Linglong Tire Super liga Srbije","?"
"8332","2019/2020","Jamie Allen","Central Midfield","24","England","Burton Albion","England","League One","Coventry","England","League One","?"
"8333","2019/2020","Gustavo Díaz","Central Midfield","27","Costa Rica","La U","Costa Rica","Primera Div. Apertura","AD San Carlos","Costa Rica","Primera Div. Apertura","?"
"8334","2019/2020","Mohamed Hamouda","Left-Back","25","Egypt","El Raja","Egypt","","Dekernes","Egypt","","?"
"8335","2019/2020","Guga","Attacking Midfield","21","Portugal","Benfica B","Portugal","Liga Pro","Famalicão","Portugal","Liga NOS","?"
"8336","2019/2020","Andrija Lukovic","Central Midfield","24","Serbia","Vozdovac","Serbia","Linglong Tire Super liga Srbije","Rakow","Poland","Ekstraklasa","?"
"8337","2019/2020","David Kondrlik","Centre-Forward","22","Slovakia","Dunajska Luzna","Slovakia","","FK Pohronie","Slovakia","Fortuna Liga","?"
"8338","2019/2020","Mohamed Zeka","Left Winger","28","Egypt","Mahalla","Egypt","","","","","?"
"8339","2019/2020","Laros Duarte","Central Midfield","22","Netherlands","PSV U21","Netherlands","Keuken Kampioen Divisie","Sparta R.","Netherlands","Eredivisie","?"
"8340","2019/2020","Alan Jr.","Centre-Forward","26","Brazil","Benfica B","Portugal","Liga Pro","Leixões","Portugal","Liga Pro","?"
"8341","2019/2020","Jiri Klima","Centre-Forward","22","Czech Republic","FC Vysocina","Czech Republic","FNL","Mladá Boleslav","Czech Republic","Fortuna Liga","?"
"8342","2019/2020","Omer Dzonlagic","Left Midfield","24","Switzerland","FC Thun","Switzerland","Super League","SC Kriens","Switzerland","Challenge League","?"
"8343","2019/2020","Luan Viana","Centre-Forward","23","Brazil","Levski Sofia","Bulgaria","Parva Liga","","","","?"
"8344","2019/2020","Faisal Abdulaziz Hussein","Goalkeeper","","Qatar","Qatar SC","Qatar","Stars League","Al Khor","Qatar","Stars League","?"
"8345","2019/2020","Walid Allati","Right-Back","27","Algeria","NA Hussein Dey","Algeria","Ligue Professionnelle 1","MC Algier","Algeria","Ligue Professionnelle 1","?"
"8346","2019/2020","Bojan Burazor","Central Midfield","26","Bosnia-Herzegovina","B. Banja Luka","Bosnia-Herzegovina","Premijer Liga","","","","?"
"8347","2019/2020","Joaquín Boghossian","Centre-Forward","32","Uruguay","Plaza Colonia","Uruguay","Torneo Intermedio","","","","-"
"8348","2019/2020","Abel Hernández","Centre-Forward","28","Uruguay","CSKA Moscow","Russia","Premier Liga","","","","-"
"8349","2019/2020","Nathan Smith","Left-Back","32","Jamaica","Dag & Red FC","England","National League","","","","-"
"8350","2019/2020","Diego Chaves","Centre-Forward","33","Uruguay","Arsenal FC","Argentina","Superliga","","","","-"
"8351","2019/2020","Pablo Olivera","Second Striker","31","Uruguay","CA Cerro","Uruguay","Torneo Intermedio","","","","-"
"8352","2019/2020","Hamilton Pereira","Central Midfield","32","Uruguay","Los Andes","Argentina","","","","","-"
"8353","2019/2020","Josete","Centre-Back","31","Spain","CD Lugo","Spain","LaLiga2","","","","-"
"8354","2019/2020","Michalis Fragos","Right Winger","29","Greece","Volos NPS","Greece","Super League","","","","-"
"8355","2019/2020","William Edjenguélé","Centre-Back","32","France","Dundee United","Scotland","Championship","","","","-"
"8356","2019/2020","James Constable","Centre-Forward","34","England","Eastleigh FC","England","National League","","","","-"
"8357","2019/2020","Shaun Brisley","Centre-Back","29","England","Notts County","England","National League","","","","-"
"8358","2019/2020","Eiji Kawashima","Goalkeeper","36","Japan","R. Strasbourg","France","Ligue 1","","","","-"
"8359","2019/2020","Issoumaila Lingane","Central Midfield","28","Burkina Faso","FC Ashdod","Israel","Ligat ha'Al","","","","-"
"8360","2019/2020","Stuart Lewis","Central Midfield","31","England","Dover Athletic","England","National League","","","","-"
"8361","2019/2020","Alassane Touré","Right-Back","30","France","AFC Tubize","Belgium","Eerste Amateur","","","","-"
"8362","2019/2020","Marcos Paulo","Central Midfield","30","Brazil","Panetolikos","Greece","Super League","","","","-"
"8363","2019/2020","Marvin Martin","Attacking Midfield","31","France","Reims","France","Ligue 1","","","","-"
"8364","2019/2020","Delvin N'Dinga","Defensive Midfield","31","Congo","Sivasspor","Turkey","Süper Lig","","","","-"
"8365","2019/2020","Senah Mango","Centre-Back","27","Togo","","","","Sant Julia","Andorra","","-"
"8366","2019/2020","Tito","Left Winger","30","Spain","","","","R. B. Linense","Spain","2ª B - Grupo IV","-"
"8367","2019/2020","Aleksandar Miljkovic","Centre-Back","29","Serbia","Miedz Legnica","Poland","1 Liga","","","","-"
"8368","2019/2020","Mbilla Etame","Centre-Forward","31","Cameroon","Alanyaspor","Turkey","Süper Lig","","","","-"
"8369","2019/2020","Giliano Wijnaldum","Left-Back","26","Netherlands","Sparta R.","Netherlands","Eredivisie","","","","-"
"8370","2019/2020","Ibrahima Niasse","Defensive Midfield","31","Senegal","Raja Casablanca","Morocco","Botola Pro","","","","-"
"8371","2019/2020","Shinji Okazaki","Centre-Forward","33","Japan","Leicester","England","Premier League","","","","-"
"8372","2019/2020","Lyes Meziane","Goalkeeper","31","Algeria","CR Belouizdad","Algeria","Ligue Professionnelle 1","CS Constantine","Algeria","Ligue Professionnelle 1","?"
"8373","2019/2020","Karim El Deeb","Left-Back","24","Egypt","Arab Contr.","Egypt","Premier League","Ittehad","Egypt","Premier League","?"
"8374","2019/2020","Seydi Kayasoy","Centre-Back","21","Turkey","Altinordu","Turkey","1.Lig","Bayrampasa","Turkey","3.Lig Grup 3","?"
"8375","2019/2020","Cyriel Dessers","Centre-Forward","24","Belgium","FC Utrecht","Netherlands","Eredivisie","Heracles Almelo","Netherlands","Eredivisie","?"
"8376","2019/2020","Enes Keles","Centre-Forward","22","Turkey","Samsunspor","Turkey","2.Lig Beyaz","Yeni Orduspor","Turkey","3.Lig Grup 1","?"
"8377","2019/2020","Saeed Jassim","Centre-Forward","24","United Arab Emirates","Shabab Dubai","United Arab Emirates","UAE Gulf League","Hatta Club","United Arab Emirates","UAE Gulf League","?"
"8378","2019/2020","Libor Holik","Right-Back","21","Czech Republic","FC Zlin","Czech Republic","Fortuna Liga","FK Jablonec","Czech Republic","Fortuna Liga","?"
"8379","2019/2020","Bruno Sutalo","Goalkeeper","21","Croatia","Zrinjski Mostar","Bosnia-Herzegovina","Premijer Liga","","","","?"
"8380","2019/2020","Alex Gersbach","Left-Back","22","Australia","NAC Breda","Netherlands","Keuken Kampioen Divisie","Aarhus GF","Denmark","Superligaen","?"
"8381","2019/2020","Francisco Rivera","Left Midfield","24","Mexico","Min. Zacatecas","Mexico","Ascenso MX Apertura","Monagas SC","Venezuela","Torneo Clausura","?"
"8382","2019/2020","Rastislav Vaclavik","Central Midfield","22","Slovakia","Zilina B","Slovakia","II. Liga","Liptovsky Mik.","Slovakia","II. Liga","?"
"8383","2019/2020","Crysan","Left Winger","23","Brazil","Al-Batin","Saudi Arabia","","Athletico-PR","Brazil","Série A","?"
"8384","2019/2020","Issa Ale Kasir","Centre-Forward","29","Iran","Paykan","Iran","Persian Gulf Pro League","Sanat Naft","Iran","Persian Gulf Pro League","?"
"8385","2019/2020","Salvador Sánchez","Centre-Back","23","Argentina","Olimpo","Argentina","","Chacarita Jrs","Argentina","Primera Nacional","?"
"8386","2019/2020","Vuk Radovic","Goalkeeper","26","Montenegro","Arsenal Tivat","Montenegro","Druga Liga","B. Podgorica","Montenegro","Telekom 1. CFL","?"
"8387","2019/2020","Julien Laporte","Centre-Back","25","France","Clermont Foot","France","Ligue 2","FC Lorient","France","Ligue 2","?"
"8388","2019/2020","Emiliano López","Centre-Forward","31","Argentina","CA Alvarado","Argentina","Primera Nacional","CA Estudiantes","Argentina","Primera Nacional","?"
"8389","2019/2020","Ben Meyer","Left-Back","20","Germany","U. Fürstenwalde","Germany","Regionalliga Nordost","Energie Cottbus","Germany","Regionalliga Nordost","?"
"8390","2019/2020","Kevin Piscopo","Second Striker","21","Italy","Genoa","Italy","Serie A","FC Empoli","Italy","Serie B","?"
"8391","2019/2020","Francesco Petrarulo","Centre-Forward","21","Italy","Castelfidardo ","Italy","","Alba Adriat.","Italy","","?"
"8392","2019/2020","Adam Krcik","Right Midfield","23","Slovakia","1.SC Znojmo","Czech Republic","MSFL","Liptovsky Mik.","Slovakia","II. Liga","?"
"8393","2019/2020","Sherwin Seedorf","Left Winger","21","Netherlands","Wolves U23","England","","Motherwell FC","Scotland","Premiership","?"
"8394","2019/2020","Kagan Miray Bagis","Right Midfield","21","Turkey","Giresunspor","Turkey","1.Lig","Istanbulspor","Turkey","1.Lig","?"
"8395","2019/2020","Yam Sasson","Left-Back","22","Israel","Ramat haSharon","Israel","Liga Leumit","Maccabi Yavne","Israel","","?"
"8396","2019/2020","Marko Brkic","Central Midfield","19","Bosnia-Herzegovina","Zvijezda 09","Bosnia-Herzegovina","Premijer Liga","NS Mura","Slovenia","Prva Liga","?"
"8397","2019/2020","Hernán Rivero","Centre-Forward","26","Argentina","Luqueño","Paraguay","","Celaya","Mexico","Ascenso MX Apertura","?"
"8398","2019/2020","Erduan Bajrami","Centre-Back","20","Croatia","NK Ankaran","Slovenia","","","","","?"
"8399","2019/2020","Amoy Brown","Left Winger","22","Jamaica","St. Andrews FC","Malta","First Division","A. Lustenau","Austria","2. Liga","?"
"8400","2019/2020","Gal Levi","Midfielder","25","Israel","H. Petah Tikva","Israel","Liga Leumit","H. Beer Sheva","Israel","Ligat ha'Al","?"
"8401","2019/2020","Eyal Danin","Forward","24","Israel","H Rishon leZion","Israel","Liga Leumit","Hapoel Katamon","Israel","Liga Leumit","?"
"8402","2019/2020","Joaquín Molina","Centre-Forward","27","Argentina","Union Sunchales","Argentina","","Atlanta","Argentina","Primera Nacional","?"
"8403","2019/2020","Cristian Tarragona","Centre-Forward","28","Argentina","Platense","Argentina","Primera Nacional","CA Patronato","Argentina","Superliga","?"
"8404","2019/2020","José Méndez","Left Winger","26","Argentina","Tampico Madero","Mexico","Ascenso MX Apertura","Almagro","Argentina","Primera Nacional","?"
"8405","2019/2020","Faber Gil","Centre-Forward","24","Colombia","Árabe Unido","Panama","","","","","?"
"8406","2019/2020","Fábio Gomes","Defensive Midfield","19","Switzerland","Team Vaud U21","Switzerland","1. Liga gr. 1","FC Chiasso","Switzerland","Challenge League","?"
"8407","2019/2020","Aleksandar Mesarovic","Attacking Midfield","20","Serbia","Vojvodina","Serbia","Linglong Tire Super liga Srbije","Napredak","Serbia","Linglong Tire Super liga Srbije","?"
"8408","2019/2020","Alexis Vega","Right-Back","26","Argentina","Brown Adrogue","Argentina","Primera Nacional","CA Temperley","Argentina","Primera Nacional","?"
"8409","2019/2020","Damián Arce","Left Midfield","27","Argentina","Almagro","Argentina","Primera Nacional","Instituto AC","Argentina","Primera Nacional","?"
"8410","2019/2020","Masoud Sulaiman","Defender","27","United Arab Emirates","Al-Nasr","United Arab Emirates","UAE Gulf League","Al-Dhafra SCC","United Arab Emirates","UAE Gulf League","?"
"8411","2019/2020","Pooya Asadi","Centre-Back","21","Iran","Zob Ahan","Iran","Persian Gulf Pro League","Baadraan","Iran","Azadegan League","?"
"8412","2019/2020","Aldo Magaña","Centre-Forward","23","Mexico","Club León U20","Mexico","","Puebla FC","Mexico","Liga MX Apertura","?"
"8413","2019/2020","Kerim Tatar","Left Winger","22","Bosnia-Herzegovina","FK Igman","Bosnia-Herzegovina","Prva liga FBIH","","","","?"
"8414","2019/2020","Mohamed Laaribi","Attacking Midfield","26","Morocco","Rende","Italy","Serie C - C","Casertana","Italy","Serie C - C","?"
"8415","2019/2020","Alejandro Zamudio","Right Winger","21","Mexico","Puebla FC","Mexico","Liga MX Apertura","","","","?"
"8416","2019/2020","Daniel Prochazka","Left Winger","24","Czech Republic","Ustí nad Labem","Czech Republic","FNL","Hradec Králové","Czech Republic","FNL","?"
"8417","2019/2020","Luis Hernández","Centre-Back","21","Mexico","Necaxa","Mexico","Liga MX Apertura","Toluca","Mexico","Liga MX Apertura","?"
"8418","2019/2020","Kristóf Hinora","Right-Back","21","Hungary","MTK Budapest II","Hungary","","Vasas FC","Hungary","NB II.","?"
"8419","2019/2020","Zurab Davitashvili","Attacking Midfield","18","Georgia","FC Locomotive","Georgia","Crystalbet Erovnuli Liga","Rubin Kazan","Russia","Premier Liga","?"
"8420","2019/2020","Daniel Udoh","Centre-Forward","22","Nigeria","Telford Utd","England","","Shrewsbury","England","League One","?"
"8421","2019/2020","Stéphane Diarra","Right Midfield","20","France","Rennes B","France","","FC Le Mans","France","Ligue 2","?"
"8422","2019/2020","Nikola Gajic","Centre-Forward","21","Serbia","Vojvodina","Serbia","Linglong Tire Super liga Srbije","Extremadura B","Spain","","?"
"8423","2019/2020","Pavol Safranko","Centre-Forward","24","Slovakia","Aalborg BK","Denmark","Superligaen","Sepsi Sf. Gh.","Romania","Liga 1","?"
"8424","2019/2020","Felipe Costa","Attacking Midfield","26","Brazil","Maranhão-MA","Brazil","","Timon EC","Brazil","","?"
"8425","2019/2020","Dawid Witkowski","Left-Back","22","Poland","Siarka T.","Poland","3 Liga - Group IV","NKP Podhale","Poland","3 Liga - Group IV","?"
